date,elapsed_days,rent_cash,rent_investments,rent_home_value,rent_mortgage_principal,rent_accrued_mortgage_interest,rent_equity,rent_net_worth,rent_net_worth_after_selling_costs,rent_cumulative_income,rent_cumulative_housing_cash_outflows,rent_cumulative_housing_expenses,buy_cash,buy_investments,buy_home_value,buy_mortgage_principal,buy_accrued_mortgage_interest,buy_equity,buy_net_worth,buy_net_worth_after_selling_costs,buy_cumulative_income,buy_cumulative_housing_cash_outflows,buy_cumulative_housing_expenses,net_worth_difference,net_worth_after_selling_costs_difference
2030-03-31,1520,15000.00,341283.32,0.00,0.00,0.00,0.00,356283.32,356283.32,323166.20,174452.13,174452.13,15000.00,133708.29,678594.57,455500.25,0.00,223094.32,371802.61,331086.94,323166.20,341794.74,197294.98,15519.29,-25196.38
2030-04-30,1550,15000.00,346010.10,0.00,0.00,0.00,0.00,361010.10,361010.10,329931.40,178153.39,178153.39,15000.00,137377.02,680245.21,454938.68,0.00,225306.53,377683.55,336868.83,329931.40,345557.54,200496.22,16673.44,-24141.27
2030-05-31,1581,15000.00,350815.90,0.00,0.00,0.00,0.00,365815.90,365815.90,336696.60,181854.64,181854.64,15000.00,141086.21,681955.09,454374.04,0.00,227581.06,383667.26,342749.96,336696.60,349320.35,203694.38,17851.37,-23065.94
2030-06-30,1611,15000.00,355588.44,0.00,0.00,0.00,0.00,370588.44,370588.44,343461.81,185555.90,185555.90,15000.00,144790.35,683613.91,453806.30,0.00,229807.61,389597.97,348581.13,343461.81,353083.15,206889.45,19009.52,-22007.31
2030-07-31,1642,15000.00,360441.76,0.00,0.00,0.00,0.00,375441.76,375441.76,350227.01,189257.15,189257.15,15000.00,148536.32,685332.26,453235.44,0.00,232096.82,395633.14,354513.20,350227.01,356845.96,210081.40,20191.38,-20928.56
2030-08-31,1673,15000.00,365319.15,0.00,0.00,0.00,0.00,380319.15,380319.15,356992.21,192958.41,192958.41,15000.00,152300.87,687054.93,452661.46,0.00,234393.47,401694.34,360471.05,356992.21,360608.76,213270.22,21375.19,-19848.10
2030-09-30,1703,15000.00,370161.32,0.00,0.00,0.00,0.00,385161.32,385161.32,363757.41,196659.67,196659.67,15000.00,156058.86,688726.15,452084.33,0.00,236641.82,407700.68,366377.11,363757.41,364371.57,216455.90,22539.36,-18784.21
2030-10-31,1734,15000.00,375086.94,0.00,0.00,0.00,0.00,390086.94,390086.94,370522.61,200360.92,200360.92,15000.00,159860.73,690457.36,451504.04,0.00,238953.32,413814.05,372386.61,370522.61,368134.37,219638.41,23727.11,-17700.33
2030-11-30,1764,15000.00,379976.00,0.00,0.00,0.00,0.00,394976.00,394976.00,377287.81,204062.18,204062.18,15000.00,163655.01,692136.85,450920.56,0.00,241216.30,419871.30,378343.09,377287.81,371897.18,222817.74,24895.30,-16632.91
2030-12-31,1795,15000.00,384950.30,0.00,0.00,0.00,0.00,399950.30,399950.30,384053.01,207763.43,207763.43,15000.00,167494.57,693876.63,450333.88,0.00,243542.75,426037.31,384404.71,384053.01,375659.98,225993.86,26087.01,-15545.59
2031-01-31,1826,15000.00,389676.80,0.00,0.00,0.00,0.00,404676.80,404676.80,390953.52,211872.48,211872.48,11524.39,168325.53,695620.78,449743.99,0.00,245876.79,425726.71,383989.46,390953.52,386061.34,235805.33,21049.91,-20687.34
2031-02-28,1854,15000.00,394536.80,0.00,0.00,0.00,0.00,409536.80,409536.80,397854.02,215681.53,215681.53,14665.54,169079.62,697199.90,449150.86,0.00,248049.04,431794.20,389962.21,397854.02,389838.22,238989.08,22257.40,-19574.59
2031-03-31,1885,15000.00,399610.85,0.00,0.00,0.00,0.00,414610.85,414610.85,404754.53,219490.57,219490.57,15000.00,172732.30,698952.40,448554.48,0.00,250397.92,438130.22,396193.08,404754.53,393615.10,242169.58,23519.37,-18417.77
2031-04-30,1915,15000.00,404645.16,0.00,0.00,0.00,0.00,419645.16,419645.16,411655.03,223299.62,223299.62,15000.00,176709.60,700652.57,447954.83,0.00,252697.74,444407.34,402368.18,411655.03,397391.98,245346.80,24762.17,-17276.98
2031-05-31,1946,15000.00,409769.37,0.00,0.00,0.00,0.00,424769.37,424769.37,418555.54,227108.67,227108.67,15000.00,180735.16,702413.75,447351.89,0.00,255061.86,450797.01,408652.19,418555.54,401168.85,248520.74,26027.64,-16117.18
2031-06-30,1976,15000.00,414852.45,0.00,0.00,0.00,0.00,429852.45,429852.45,425456.04,230917.71,230917.71,15000.00,184750.88,704122.33,446745.65,0.00,257376.68,457127.56,414880.22,425456.04,404945.73,251691.37,27275.11,-14972.23
2031-07-31,2007,15000.00,420027.29,0.00,0.00,0.00,0.00,435027.29,435027.29,432356.55,234726.76,234726.76,15000.00,188816.33,705892.23,446136.08,0.00,259756.15,463572.48,421218.95,432356.55,408722.61,254858.68,28545.19,-13808.35
2031-08-31,2038,15000.00,425227.81,0.00,0.00,0.00,0.00,440227.81,440227.81,439257.05,238535.81,238535.81,15000.00,192901.95,707666.58,445523.17,0.00,262143.41,470045.36,427585.37,439257.05,412499.48,258022.65,29817.55,-12642.44
2031-09-30,2068,15000.00,430385.10,0.00,0.00,0.00,0.00,445385.10,445385.10,446157.56,242344.85,242344.85,15000.00,196976.08,709387.94,444906.89,0.00,264481.05,476457.12,433893.85,446157.56,416276.36,261183.25,31072.02,-11491.25
2031-10-31,2099,15000.00,435637.00,0.00,0.00,0.00,0.00,450637.00,450637.00,453058.06,246153.90,246153.90,15000.00,201102.18,711171.08,444287.24,0.00,266883.83,482986.01,440315.75,453058.06,420053.24,264340.48,32349.01,-10321.26
2031-11-30,2129,15000.00,440844.26,0.00,0.00,0.00,0.00,455844.26,455844.26,459958.57,249962.94,249962.94,15000.00,205215.67,712900.96,443664.19,0.00,269236.77,489452.44,446678.38,459958.57,423830.11,267494.31,33608.18,-9165.88
2031-12-31,2160,15000.00,446148.06,0.00,0.00,0.00,0.00,461148.06,461148.06,466859.07,253771.99,253771.99,15000.00,209382.65,714692.93,443037.73,0.00,271655.20,496037.85,453156.28,466859.07,427606.99,270644.72,34889.80,-7991.78
2032-01-31,2191,15000.00,451205.22,0.00,0.00,0.00,0.00,466205.22,466205.22,473897.59,257992.00,257992.00,11515.56,210421.43,716489.40,442407.83,0.00,274081.57,496018.56,453029.20,473897.59,438155.19,280563.02,29813.35,-13176.02
2032-02-29,2220,15000.00,456441.08,0.00,0.00,0.00,0.00,471441.08,471441.08,480936.10,261912.00,261912.00,14780.98,211397.85,718174.06,441774.47,0.00,276399.59,502578.41,459487.97,480936.10,441946.42,283720.90,31137.33,-11953.11
2032-03-31,2251,15000.00,461849.30,0.00,0.00,0.00,0.00,476849.30,476849.30,487974.62,265832.01,265832.01,15000.00,215499.77,719979.28,441137.64,0.00,278841.63,509341.40,466142.65,487974.62,445737.65,286875.30,32492.10,-10706.66
2032-04-30,2281,15000.00,467209.45,0.00,0.00,0.00,0.00,482209.45,482209.45,495013.13,269752.01,269752.01,15000.00,219806.04,721730.59,440497.32,0.00,281233.26,516039.30,472735.47,495013.13,449528.88,290026.21,33829.85,-9473.98
2032-05-31,2312,15000.00,472671.10,0.00,0.00,0.00,0.00,487671.10,487671.10,502051.65,273672.02,273672.02,15000.00,224169.06,723544.75,439853.49,0.00,283691.26,522860.32,479447.63,502051.65,453320.11,293173.61,35189.22,-8223.47
2032-06-30,2342,15000.00,478083.20,0.00,0.00,0.00,0.00,493083.20,493083.20,509090.16,277592.02,277592.02,15000.00,228516.95,725304.73,439206.13,0.00,286098.60,529615.55,486097.27,509090.16,457111.34,296317.48,36532.35,-6985.93
2032-07-31,2373,15000.00,483598.79,0.00,0.00,0.00,0.00,498598.79,498598.79,516128.68,281512.03,281512.03,15000.00,232923.19,727127.88,438555.22,0.00,288572.66,536495.84,492868.17,516128.68,460902.57,299457.80,37897.05,-5730.62
2032-08-31,2404,15000.00,489141.75,0.00,0.00,0.00,0.00,504141.75,504141.75,523167.19,285432.04,285432.04,15000.00,237351.29,728955.61,437900.74,0.00,291054.86,543406.15,499668.81,523167.19,464693.80,302594.55,39264.40,-4472.94
2032-09-30,2434,15000.00,494632.92,0.00,0.00,0.00,0.00,509632.92,509632.92,530205.71,289352.04,289352.04,15000.00,241762.46,730728.75,437242.67,0.00,293486.08,550248.54,506404.81,530205.71,468485.03,305727.71,40615.62,-3228.11
2032-10-31,2465,15000.00,500230.62,0.00,0.00,0.00,0.00,515230.62,515230.62,537244.22,293272.05,293272.05,15000.00,246234.41,732565.53,436581.00,0.00,295984.53,557218.94,513265.01,537244.22,472276.26,308857.26,41988.32,-1965.61
2032-11-30,2495,15000.00,505775.03,0.00,0.00,0.00,0.00,520775.03,520775.03,544282.74,297192.05,297192.05,15000.00,250688.23,734347.46,435915.69,0.00,298431.76,564119.99,520059.15,544282.74,476067.49,311983.18,43344.97,-715.88
2032-12-31,2526,15000.00,511428.00,0.00,0.00,0.00,0.00,526428.00,526428.00,551321.25,301112.06,301112.06,15000.00,255204.46,736193.33,435246.74,0.00,300946.59,571151.05,526979.45,551321.25,479858.72,315105.46,44723.05,551.45
2033-01-31,2557,15000.00,516835.57,0.00,0.00,0.00,0.00,531835.57,531835.57,558500.54,305446.29,305446.29,11506.55,256470.57,738043.85,434574.12,0.00,303469.73,571446.85,527164.21,558500.54,490556.71,325130.82,39611.27,-4671.36
2033-02-28,2585,15000.00,522318.83,0.00,0.00,0.00,0.00,537318.83,537318.83,565679.82,309480.51,309480.51,14897.46,257619.54,739719.28,433897.81,0.00,305821.47,578338.47,533955.31,565679.82,494362.58,328260.38,41019.64,-3363.52
2033-03-31,2616,15000.00,528080.43,0.00,0.00,0.00,0.00,543080.43,543080.43,572859.11,313514.74,313514.74,15000.00,262193.58,741578.66,433217.79,0.00,308360.87,585554.44,541059.72,572859.11,498168.44,331386.24,42474.01,-2020.71
2033-04-30,2646,15000.00,533785.08,0.00,0.00,0.00,0.00,548785.08,548785.08,580038.40,317548.97,317548.97,15000.00,266850.14,743382.51,432534.04,0.00,310848.46,592698.60,548095.65,580038.40,501974.31,334508.36,43913.52,-689.43
2033-05-31,2677,15000.00,539603.57,0.00,0.00,0.00,0.00,554603.57,554603.57,587217.68,321583.20,321583.20,15000.00,271572.69,745251.09,431846.55,0.00,313404.54,599977.23,555262.16,587217.68,505780.18,337626.73,45373.66,658.59
2033-06-30,2707,15000.00,545363.54,0.00,0.00,0.00,0.00,560363.54,560363.54,594396.97,325617.42,325617.42,15000.00,276274.28,747063.87,431155.28,0.00,315908.59,607182.87,562359.04,594396.97,509586.05,340741.34,46819.33,1995.49
2033-07-31,2738,15000.00,551239.47,0.00,0.00,0.00,0.00,566239.47,566239.47,601576.25,329651.65,329651.65,15000.00,281043.58,748941.72,430460.23,0.00,318481.49,614525.06,569588.56,601576.25,513391.92,343852.15,48285.59,3349.09
2033-08-31,2769,15000.00,557144.55,0.00,0.00,0.00,0.00,572144.55,572144.55,608755.54,333685.88,333685.88,15000.00,285836.53,750824.28,429761.36,0.00,321062.92,621899.45,576849.99,608755.54,517197.79,346959.15,49754.90,4705.44
2033-09-30,2799,15000.00,562988.73,0.00,0.00,0.00,0.00,577988.73,577988.73,615934.82,337720.10,337720.10,15000.00,290606.60,752650.61,429058.66,0.00,323591.95,629198.56,584039.52,615934.82,521003.66,350062.32,51209.82,6050.79
2033-10-31,2830,15000.00,568952.10,0.00,0.00,0.00,0.00,583952.10,583952.10,623114.11,341754.33,341754.33,15000.00,295447.01,754542.50,428352.11,0.00,326190.39,636637.39,591364.85,623114.11,524809.53,353161.64,52685.29,7412.74
2033-11-30,2860,15000.00,574852.97,0.00,0.00,0.00,0.00,589852.97,589852.97,630293.39,345788.56,345788.56,15000.00,300263.21,756377.88,427641.68,0.00,328736.20,643999.41,598616.74,630293.39,528615.40,356257.08,54146.44,8763.77
2033-12-31,2891,15000.00,580875.20,0.00,0.00,0.00,0.00,595875.20,595875.20,637472.68,349822.79,349822.79,15000.00,305151.52,758279.13,426927.36,0.00,331351.77,651503.29,606006.55,637472.68,532421.27,359348.63,55628.10,10131.35
2034-01-31,2922,15000.00,586653.31,0.00,0.00,0.00,0.00,601653.31,601653.31,644795.55,354274.59,354274.59,11497.36,306665.42,760185.16,426209.12,0.00,333976.04,652138.82,606527.71,644795.55,543272.03,369481.15,50485.51,4874.40
2034-02-28,2950,15000.00,592475.35,0.00,0.00,0.00,0.00,607475.35,607475.35,652118.42,358426.40,358426.40,15000.00,308056.17,761910.86,425486.94,0.00,336423.92,659480.09,613765.44,652118.42,547092.84,372579.78,52004.73,6290.08
2034-03-31,2981,15000.00,598611.01,0.00,0.00,0.00,0.00,613611.01,613611.01,659441.29,362578.21,362578.21,15000.00,313111.80,763826.02,424760.80,0.00,339065.21,667177.01,621347.45,659441.29,550913.64,375674.44,53566.00,7736.44
2034-04-30,3011,15000.00,604680.27,0.00,0.00,0.00,0.00,619680.27,619680.27,666764.16,366730.02,366730.02,15000.00,318141.46,765683.98,424030.68,0.00,341653.30,674794.76,628853.72,666764.16,554734.44,378765.13,55114.49,9173.45
2034-05-31,3042,15000.00,610876.48,0.00,0.00,0.00,0.00,625876.48,625876.48,674087.03,370881.83,370881.83,15000.00,323247.12,767608.63,423296.56,0.00,344312.06,682559.18,636502.66,674087.03,558555.24,381851.81,56682.70,10626.18
2034-06-30,3072,15000.00,617004.62,0.00,0.00,0.00,0.00,632004.62,632004.62,681409.91,375033.63,375033.63,15000.00,328325.44,769475.79,422558.41,0.00,346917.38,690242.81,644074.27,681409.91,562376.05,384934.46,58238.19,12069.65
